mean_prediction,spread,min_prediction,max_prediction,relative_spread,confidence,loan_id,reporting_month,actual
0.00027462604049363604,0.00016214340814324008,9.722764735417633e-06,0.0004332308987358714,0.5904152710784084,high confidence,LN100001,2022-10-01,0
0.0002915989972060298,0.00018038490892984728,9.722764735417633e-06,0.0005011227255854461,0.6186060674358081,high confidence,LN100001,2022-11-01,0
0.0004031393077018521,0.0003063103459047163,1.243578495140717e-05,0.0008552798232422926,0.7598126504976112,high confidence,LN100001,2022-12-01,0
0.0004182386538393143,0.0002895651061291097,1.864067201472177e-05,0.0007686766801431506,0.6923441998270191,high confidence,LN100001,2023-01-01,0
0.000383765517818849,0.00032795127902530345,1.3933940778013232e-05,0.0007686766801431506,0.8545616106658862,high confidence,LN100001,2023-02-01,0
0.00037680370310493727,0.00033062557765417647,1.1548029748124977e-05,0.0008153603322275522,0.8774477929217683,high confidence,LN100001,2023-03-01,0
0.0003763633599527759,0.00033110715189369486,9.860529934399906e-06,0.0008153603322275522,0.8797539482462916,high confidence,LN100001,2023-04-01,0
0.0004401051969290632,0.00034349074934370184,1.2877160538005355e-05,0.0008896959108853598,0.7804741951253672,high confidence,LN100001,2023-05-01,0
0.0004270921703257855,0.0003381119435683897,9.860529934399906e-06,0.0008153603322275522,0.791660365280118,high confidence,LN100001,2023-06-01,0
0.0003603005780874269,0.00030906340305359396,1.1978620073440906e-05,0.0007489911146271153,0.8577932477771372,high confidence,LN100001,2023-07-01,0
0.0003856982095240777,0.0003511253738187232,1.9338765949370095e-05,0.0008993605815672707,0.9103629862632374,high confidence,LN100001,2023-08-01,0
0.0004101350864378576,0.00032731728722514984,1.9745363833779116e-05,0.0008896959108853598,0.7980718988662873,high confidence,LN100001,2023-09-01,0
0.0007317615072256693,0.0007188751550027993,8.432281774076304e-07,0.001544279795933004,0.9823899561597247,high confidence,LN100002,2022-10-01,0
0.0006246187312519574,0.0005918763761961658,4.906832620183451e-06,0.0013827303939328798,0.9475802542934242,high confidence,LN100002,2022-11-01,0
0.0007737618187840069,0.0007072938574673304,8.900520768783297e-06,0.0016599645779105758,0.9140976464551673,high confidence,LN100002,2022-12-01,0
0.001171974770461647,0.0011036744439442163,6.669466182880264e-06,0.0027896459616452178,0.9417220163446633,high confidence,LN100002,2023-01-01,0
0.010303067900747918,0.015821716951736634,5.8034534840334254e-06,0.03763492680596951,1.5356316297389545,low confidence,LN100002,2023-02-01,0
0.0027216164893907446,0.0024291766782726563,5.8593833601928295e-06,0.005265736261128431,0.8925492212962183,high confidence,LN100002,2023-03-01,0
0.002158366235527479,0.0023746356285132874,5.8034534840334254e-06,0.006121644640567483,1.1002005078776422,moderate confidence,LN100002,2023-04-01,0
0.003757963466131698,0.004888230592633564,5.803998486214294e-06,0.012046960576348225,1.3007658633960375,low confidence,LN100002,2023-05-01,0
0.0011003197741739001,0.0009402898720815526,5.8034534840334254e-06,0.0022638842862922758,0.8545605506249353,high confidence,LN100002,2023-06-01,0
0.0057372124428715,0.009492569645932338,5.8034534840334254e-06,0.022176644360422444,1.6545612944360948,low confidence,LN100002,2023-07-01,0
0.0063495754002636075,0.010562946566256764,7.744813724660325e-06,0.024643064112555648,1.6635673884301359,low confidence,LN100002,2023-08-01,0
