exception_probability,exception_type_pred,decided_by,anomaly_score,loan_id,reporting_month
0.13622820557486345,none,anomaly score only,0.2724564111497269,LN100000,2023-12-01
0.09999054486888531,none,anomaly score only,0.19998108973777062,LN100001,2020-09-01
0.08761760871161234,none,anomaly score only,0.17523521742322468,LN100001,2020-10-01
0.08315268093902763,none,anomaly score only,0.16630536187805525,LN100001,2020-11-01
0.08093408595586635,none,anomaly score only,0.1618681719117327,LN100001,2020-12-01
0.09384933568946925,none,anomaly score only,0.1876986713789385,LN100001,2021-01-01
0.07490379151425651,none,anomaly score only,0.14980758302851302,LN100001,2021-02-01
0.98,balance_inconsistency,rule,0.4927957769619701,LN100001,2021-03-01
0.07247682421412929,none,anomaly score only,0.14495364842825859,LN100001,2021-04-01
0.07430196018606862,none,anomaly score only,0.14860392037213724,LN100001,2021-05-01
0.13150855939098777,none,anomaly score only,0.26301711878197553,LN100001,2021-06-01
0.07701083700456994,none,anomaly score only,0.15402167400913988,LN100001,2021-07-01
0.07750865587886642,none,anomaly score only,0.15501731175773284,LN100001,2021-08-01
0.07709450765432023,none,anomaly score only,0.15418901530864046,LN100001,2021-09-01
0.07829906710124902,none,anomaly score only,0.15659813420249805,LN100001,2021-10-01
0.07858466509639098,none,anomaly score only,0.15716933019278195,LN100001,2021-11-01
0.09980217024242627,none,anomaly score only,0.19960434048485254,LN100001,2021-12-01
0.08421861152294255,none,anomaly score only,0.1684372230458851,LN100001,2022-01-01
0.08431330591952811,none,anomaly score only,0.16862661183905622,LN100001,2022-02-01
0.08681630830820192,none,anomaly score only,0.17363261661640383,LN100001,2022-03-01
0.08683059590390106,none,anomaly score only,0.17366119180780212,LN100001,2022-04-01
0.09216515552201014,none,anomaly score only,0.18433031104402028,LN100001,2022-05-01
0.09358309558701865,none,anomaly score only,0.1871661911740373,LN100001,2022-06-01
0.09608733174770612,none,anomaly score only,0.19217466349541223,LN100001,2022-07-01
0.10582448106100359,none,anomaly score only,0.21164896212200718,LN100001,2022-08-01
0.10652951160666557,none,anomaly score only,0.21305902321333114,LN100001,2022-09-01
0.10818799577290243,none,anomaly score only,0.21637599154580486,LN100001,2022-10-01
0.11183806394845233,none,anomaly score only,0.22367612789690466,LN100001,2022-11-01
0.11556349615824513,none,anomaly score only,0.23112699231649025,LN100001,2022-12-01
0.11868303966679503,none,anomaly score only,0.23736607933359005,LN100001,2023-01-01
0.12337597318455717,none,anomaly score only,0.24675194636911435,LN100001,2023-02-01
0.12419571630069498,none,anomaly score only,0.24839143260138996,LN100001,2023-03-01
0.13309351287529417,none,anomaly score only,0.26618702575058834,LN100001,2023-04-01
0.14077585038954368,none,anomaly score only,0.28155170077908737,LN100001,2023-05-01
0.1680985015355469,none,anomaly score only,0.3361970030710938,LN100001,2023-06-01
0.1545034866926253,none,anomaly score only,0.3090069733852506,LN100001,2023-07-01
0.16258015242613524,none,anomaly score only,0.3251603048522705,LN100001,2023-08-01
0.17799125333155885,none,anomaly score only,0.3559825066631177,LN100001,2023-09-01
0.1871628415590682,none,anomaly score only,0.3743256831181364,LN100001,2023-10-01
0.17682262587974798,none,anomaly score only,0.35364525175949596,LN100001,2023-11-01
0.19707095149603296,none,anomaly score only,0.3941419029920659,LN100001,2023-12-01
0.11476537150532072,none,anomaly score only,0.22953074301064144,LN100002,2021-10-01
0.09033327871493846,none,anomaly score only,0.18066655742987692,LN100002,2021-11-01
0.09442129232828697,none,anomaly score only,0.18884258465657394,LN100002,2021-12-01
0.09155682601613215,none,anomaly score only,0.1831136520322643,LN100002,2022-01-01
0.07468798192095544,none,anomaly score only,0.14937596384191087,LN100002,2022-02-01
0.1610546032030818,none,anomaly score only,0.3221092064061636,LN100002,2022-03-01
0.08221755022011454,none,anomaly score only,0.16443510044022908,LN100002,2022-04-01
0.08258814704379154,none,anomaly score only,0.16517629408758308,LN100002,2022-05-01
0.08365134739314296,none,anomaly score only,0.16730269478628593,LN100002,2022-06-01
0.08397608345664703,none,anomaly score only,0.16795216691329407,LN100002,2022-07-01
0.08534942722633741,none,anomaly score only,0.17069885445267483,LN100002,2022-08-01
0.08951987252591227,none,anomaly score only,0.17903974505182454,LN100002,2022-09-01
0.08620127492442502,none,anomaly score only,0.17240254984885003,LN100002,2022-10-01
0.08719250035452913,none,anomaly score only,0.17438500070905827,LN100002,2022-11-01
0.09175514056519841,none,anomaly score only,0.18351028113039683,LN100002,2022-12-01
0.09659421347822099,none,anomaly score only,0.19318842695644198,LN100002,2023-01-01
0.09783363014229365,none,anomaly score only,0.1956672602845873,LN100002,2023-02-01
0.10478987600504258,none,anomaly score only,0.20957975201008516,LN100002,2023-03-01
0.10843219775428434,none,anomaly score only,0.21686439550856867,LN100002,2023-04-01
0.11103334195759398,none,anomaly score only,0.22206668391518797,LN100002,2023-05-01
0.11880806692783387,none,anomaly score only,0.23761613385566774,LN100002,2023-06-01
0.12009531942512235,none,anomaly score only,0.2401906388502447,LN100002,2023-07-01
0.12328395611927041,none,anomaly score only,0.24656791223854083,LN100002,2023-08-01
0.12786146564471096,none,anomaly score only,0.2557229312894219,LN100002,2023-09-01
0.13975211093034426,none,anomaly score only,0.2795042218606885,LN100002,2023-10-01
0.14665326293285172,none,anomaly score only,0.29330652586570344,LN100002,2023-11-01
0.15742195918179339,none,anomaly score only,0.31484391836358677,LN100002,2023-12-01
0.09222119052765028,none,anomaly score only,0.18444238105530056,LN100003,2021-09-01
0.08266734545373206,none,anomaly score only,0.1653346909074641,LN100003,2021-10-01
0.07775520381530679,none,anomaly score only,0.15551040763061358,LN100003,2021-11-01
0.07319088106614707,none,anomaly score only,0.14638176213229415,LN100003,2021-12-01
0.0695511808417264,none,anomaly score only,0.1391023616834528,LN100003,2022-01-01
0.08058675573803925,none,anomaly score only,0.1611735114760785,LN100003,2022-02-01
0.0656481696581316,none,anomaly score only,0.1312963393162632,LN100003,2022-03-01
0.0998970075021874,none,anomaly score only,0.1997940150043748,LN100003,2022-04-01
0.15252547365200167,none,anomaly score only,0.30505094730400334,LN100004,2023-05-01
0.1648613233788322,none,anomaly score only,0.3297226467576644,LN100004,2023-06-01
0.1648613233788322,none,anomaly score only,0.3297226467576644,LN100004,2023-06-01
0.98,balance_inconsistency,rule,0.6546623661056274,LN100004,2023-07-01
0.1316419620213505,none,anomaly score only,0.263283924042701,LN100004,2023-08-01
0.1282155792202832,none,anomaly score only,0.2564311584405664,LN100004,2023-09-01
0.1877275640763133,none,anomaly score only,0.3754551281526266,LN100004,2023-10-01
0.13054530808946552,none,anomaly score only,0.26109061617893103,LN100004,2023-11-01
0.13446600568952463,none,anomaly score only,0.26893201137904926,LN100004,2023-12-01
0.09284019949986783,none,anomaly score only,0.18568039899973565,LN100005,2021-04-01
0.0814054707813702,none,anomaly score only,0.1628109415627404,LN100005,2021-05-01
0.08528694023038519,none,anomaly score only,0.17057388046077038,LN100005,2021-06-01
0.0726935254949884,none,anomaly score only,0.1453870509899768,LN100005,2021-07-01
0.07042177422090255,none,anomaly score only,0.1408435484418051,LN100005,2021-08-01
0.08154136307282675,none,anomaly score only,0.1630827261456535,LN100005,2021-09-01
0.06613759146520225,none,anomaly score only,0.1322751829304045,LN100005,2021-10-01
0.06416701004167552,none,anomaly score only,0.12833402008335104,LN100005,2021-11-01
0.061163802684766816,none,anomaly score only,0.12232760536953363,LN100005,2021-12-01
0.05960761247319138,none,anomaly score only,0.11921522494638276,LN100005,2022-01-01
0.05861389341057897,none,anomaly score only,0.11722778682115793,LN100005,2022-02-01
0.05855481213481738,none,anomaly score only,0.11710962426963475,LN100005,2022-03-01
0.061373171883651545,none,anomaly score only,0.12274634376730309,LN100005,2022-04-01
0.06598654422537824,none,anomaly score only,0.13197308845075648,LN100005,2022-05-01
0.06457382854108357,none,anomaly score only,0.12914765708216713,LN100005,2022-06-01
0.06426203687321139,none,anomaly score only,0.12852407374642277,LN100005,2022-07-01
0.06472467484959275,none,anomaly score only,0.1294493496991855,LN100005,2022-08-01
0.06380306426645166,none,anomaly score only,0.12760612853290332,LN100005,2022-09-01
0.0675592825587022,none,anomaly score only,0.1351185651174044,LN100005,2022-10-01
0.07172361852450468,none,anomaly score only,0.14344723704900936,LN100005,2022-11-01
0.98,balance_inconsistency,rule,0.5977339594520338,LN100005,2022-12-01
0.07338079548163637,none,anomaly score only,0.14676159096327274,LN100005,2023-01-01
0.07427514146551782,none,anomaly score only,0.14855028293103564,LN100005,2023-02-01
0.13007834708537724,none,anomaly score only,0.2601566941707545,LN100005,2023-03-01
0.1942238067725528,none,anomaly score only,0.3884476135451056,LN100005,2023-04-01
0.98,document_gap,rule,0.4178403159780489,LN100005,2023-05-01
0.16812568538718506,none,anomaly score only,0.3362513707743701,LN100006,2020-06-01
0.14864802785906878,none,anomaly score only,0.29729605571813755,LN100006,2020-07-01
0.24240923842511336,none,anomaly score only,0.4848184768502267,LN100006,2020-08-01
0.13665026599585853,none,anomaly score only,0.27330053199171706,LN100006,2020-09-01
0.13108763320891784,none,anomaly score only,0.2621752664178357,LN100006,2020-10-01
0.13095085098360354,none,anomaly score only,0.2619017019672071,LN100006,2020-11-01
0.13399714475073798,none,anomaly score only,0.26799428950147597,LN100006,2020-12-01
0.13095420726041254,none,anomaly score only,0.2619084145208251,LN100006,2021-01-01
0.13387021264469673,none,anomaly score only,0.26774042528939346,LN100006,2021-02-01
0.12039693951487103,none,anomaly score only,0.24079387902974206,LN100006,2021-03-01
0.1252383401406277,none,anomaly score only,0.2504766802812554,LN100006,2021-04-01
0.1400053276701329,none,anomaly score only,0.2800106553402658,LN100006,2021-05-01
0.14287430622904357,none,anomaly score only,0.28574861245808714,LN100006,2021-06-01
0.98,document_gap,rule,0.3351130024905995,LN100006,2021-07-01
0.18135442728908965,none,anomaly score only,0.3627088545781793,LN100007,2019-02-01
0.16810280612730993,none,anomaly score only,0.33620561225461987,LN100007,2019-03-01
0.161939090979776,none,anomaly score only,0.323878181959552,LN100007,2019-04-01
0.17477343908987136,none,anomaly score only,0.3495468781797427,LN100007,2019-05-01
0.1563744473233581,none,anomaly score only,0.3127488946467162,LN100007,2019-06-01
0.15947803896602958,none,anomaly score only,0.31895607793205916,LN100007,2019-07-01
