scenario,month,cif_default,cif_prepaid,delinquency_share
base,0,0.0,0.0,0.03764544832306639
base,1,0.0018879728709856635,0.015555896166222377,0.03428573892239975
base,2,0.0035241425913334823,0.03066147589152938,0.031629121027571774
base,3,0.004910681737064623,0.04530191525379509,0.029702953340507536
base,4,0.006122826135638129,0.05949492615593962,0.028343540150006764
base,5,0.007205483067299347,0.07328185515789555,0.027435210400547208
base,6,0.008203736326960467,0.08668306375663994,0.02684613966327578
base,7,0.009144532882991656,0.09973382396871455,0.026453783162851238
base,8,0.010056944977809288,0.11246263331455093,0.02618974297508043
base,9,0.01095047188301514,0.124888133056325,0.026002262841419113
base,10,0.01182764097061508,0.13702187427119958,0.025866155965491015
base,11,0.01269334707385204,0.1488642423577046,0.025786498320132217
base,12,0.013549626742210247,0.16044115748268073,0.025735416212518524
adverse_credit,0,0.0,0.0,0.03764544832306639
adverse_credit,1,0.0034927498113235165,0.00855574289142232,0.038357135295348094
adverse_credit,2,0.00665215265359669,0.01699189290171741,0.03808925868363469
adverse_credit,3,0.009398360281217447,0.025275309728897456,0.03797773159939401
adverse_credit,4,0.011990764221267004,0.03340979239195891,0.037994141268533
adverse_credit,5,0.014509730289754157,0.04140179240405425,0.038144263993201095
adverse_credit,6,0.01700799494601764,0.049253178104560466,0.038388927689066786
adverse_credit,7,0.01951175503325653,0.056975150937316935,0.03863877657372551
adverse_credit,8,0.022026139186050737,0.06457201545527273,0.038896884109700616
adverse_credit,9,0.024557060321033226,0.07205000316756624,0.03914342211580148
adverse_credit,10,0.027106038352511692,0.0794106995673526,0.039369353768106956
adverse_credit,11,0.029670432147781325,0.08665017178910316,0.03960891793348984
adverse_credit,12,0.03224374835148376,0.09377701535635977,0.0398497285272128
high_prepayment,0,0.0,0.0,0.03764544832306639
high_prepayment,1,0.0016991755838870997,0.03422297156568928,0.032189582920330036
high_prepayment,2,0.0030297241166234085,0.06625584937050986,0.028343549007841248
high_prepayment,3,0.004101402846214148,0.09632070587803727,0.02568388097759462
high_prepayment,4,0.005003617095962801,0.12462971792684528,0.023819049518265
high_prepayment,5,0.005784800362956733,0.1513976990792869,0.02251634490883083
high_prepayment,6,0.006488177639226764,0.1767648281903558,0.021570202052316197
high_prepayment,7,0.007135382175286875,0.20087913722335474,0.02085080231806959
high_prepayment,8,0.007751161734983669,0.22386818689462873,0.020277261375597055
high_prepayment,9,0.008343489227661495,0.2458249165307284,0.01978576677798073
high_prepayment,10,0.008914732648062232,0.26682530845668445,0.019350438585928907
high_prepayment,11,0.009468110885764205,0.28691293729337325,0.01897755590790466
high_prepayment,12,0.010006229267875496,0.3061799219377257,0.018637583924065074
